"","Measure","","Controls","","","Full ASD","","","ASD-I","","","ASD-II","","","ASD-III",""
"1","","N (m/f)","M","SD","N (m/f)","M","SD","N (m/f)","M","SD","N (m/f)","M","SD","N (m/f)","M","SD"
"2","Sex","54/37","-","-","142/26","-","-","68/9","-","-","72/16","-","-","2/1","-","-"
"3","Age","91","10.19","3.37","168","11.07","3.37","77","11.22","3.43","88","10.96","3.37","3","10.62","2.34"
"4","ASSQ","91","2.33","2.94","168","16.14","9.65","77","15.81","9.34","88","15.84","9.57","3","33.67","4.16"
"5","SRS","91","29.42","17.39","168","77.55","28.49","77","77.90","26.71","88","76.52","29.93","3","99.00","30.81"
"6"," AWR","91","6.13","2.73","168","10.19","3.63","77","9.94","3.73","88","10.35","3.54","3","12.00","4.36"
"7"," COG","91","5.42","4.09","168","14.47","6.70","77","14.65","6.28","88","14.01","6.92","3","23.33","6.43"
"8"," COM","91","8.96","6.69","168","26.08","10.38","77","25.88","9.59","88","26.07","11.06","3","31.33","11.93"
"9"," MOT","91","5.46","4.07","168","11.74","6.05","77","12.10","6.11","88","11.45","6.05","3","11.00","6.24"
"10"," RRB","91","3.45","3.74","168","15.07","6.72","77","15.32","6.06","88","14.64","7.27","3","21.33","3.21"
"11","RBS","91","10.59","17.00","168","47.30","36.16","77","44.86","35.39","88","48.14","36.62","3","85.33","27.93"
"12","SCQ","91","5.08","3.12","168","11.29","5.34","77","10.95","5.11","88","11.45","5.56","3","15.00","4.36"
